Test File, upham_1.test.dat
Known Author Name, Unknown Author Name, Threshold, Match Value, Matches,Common Synonym Count, Scaled SC 2, Scaled SC 3, Scaled SC 4, Words Enc. Known, Words Enc. Unk.,Words over Threshold Known, Words Over Threshold Unk.,Dictionary Hits Known, Dictionary Hits Unk.
upham_20x5 ,upham_1, 0, 6.940465237489541E-5, 3721,47018, 1501794.0, 9.1731452E7, 8.123549982E9, 126291, 58075, 7057, 7148, 82705, 37050, 
child_20x5 ,upham_1, 0, 4.743223661164503E-5, 3002,42374, 1386594.0, 8.3498126E7, 7.196479938E9, 171164, 58075, 7111, 7148, 109304, 37050, 
abbott_20x5 ,upham_1, 0, 6.29836427173665E-5, 3175,44335, 1422087.0, 8.5535503E7, 7.507975479E9, 130385, 58075, 6247, 7148, 83320, 37050, 
traill_20x5 ,upham_1, 0, 6.753150010735204E-5, 3136,44292, 1480824.0, 9.2123934E7, 8.20833114E9, 116710, 58075, 7437, 7148, 79308, 37050, 1
upham_20x5 ,upham_1, 1, 6.940465237489541E-5, 3458,47018, 1501794.0, 9.1731452E7, 8.123549982E9, 126291, 58075, 6357, 6327, 82705, 37050, 
child_20x5 ,upham_1, 1, 4.743223661164503E-5, 2861,42374, 1386594.0, 8.3498126E7, 7.196479938E9, 171164, 58075, 6492, 6327, 109304, 37050, 
abbott_20x5 ,upham_1, 1, 6.29836427173665E-5, 3057,44335, 1422087.0, 8.5535503E7, 7.507975479E9, 130385, 58075, 5936, 6327, 83320, 37050, 
traill_20x5 ,upham_1, 1, 6.753150010735204E-5, 2996,44292, 1480824.0, 9.2123934E7, 8.20833114E9, 116710, 58075, 6910, 6327, 79308, 37050, 1
upham_20x5 ,upham_1, 2, 6.930716588774112E-5, 3305,46865, 1501641.0, 9.1731299E7, 8.123549829E9, 126291, 58075, 5932, 5935, 82705, 37050, 
child_20x5 ,upham_1, 2, 4.738294256923145E-5, 2744,42257, 1386477.0, 8.3498009E7, 7.196479821E9, 171164, 58075, 6009, 5935, 109304, 37050, 
abbott_20x5 ,upham_1, 2, 6.291325281558369E-5, 2947,44225, 1421977.0, 8.5535393E7, 7.507975369E9, 130385, 58075, 5604, 5935, 83320, 37050, 
traill_20x5 ,upham_1, 2, 6.745094457812786E-5, 2881,44177, 1480709.0, 9.2123819E7, 8.208331025E9, 116710, 58075, 6420, 5935, 79308, 37050, 1
upham_20x5 ,upham_1, 3, 6.866280065936178E-5, 3062,46379, 1500669.0, 9.1729355E7, 8.123545941E9, 126291, 58075, 5389, 5388, 82705, 37050, 
child_20x5 ,upham_1, 3, 4.696686061122621E-5, 2585,41939, 1385841.0, 8.3496737E7, 7.196477277E9, 171164, 58075, 5444, 5388, 109304, 37050, 
abbott_20x5 ,upham_1, 3, 6.238156473945312E-5, 2790,43911, 1421349.0, 8.5534137E7, 7.507972857E9, 130385, 58075, 5153, 5388, 83320, 37050, 
traill_20x5 ,upham_1, 3, 6.684751579694296E-5, 2698,43811, 1479977.0, 9.2122355E7, 8.208328097E9, 116710, 58075, 5811, 5388, 79308, 37050, 1
upham_20x5 ,upham_1, 4, 6.80971063443923E-5, 2786,45551, 1498185.0, 9.1721903E7, 8.123523585E9, 126291, 58075, 4799, 4832, 82705, 37050, 
child_20x5 ,upham_1, 4, 4.663729472766113E-5, 2420,41444, 1384356.0, 8.3492282E7, 7.196463912E9, 171164, 58075, 4903, 4832, 109304, 37050, 
abbott_20x5 ,upham_1, 4, 6.202776634006071E-5, 2598,43335, 1419621.0, 8.5528953E7, 7.507957305E9, 130385, 58075, 4692, 4832, 83320, 37050, 
